"Journal title","ISSN","eISSN","Publisher name","Publisher address","Languages","Web of Science Categories"
"3C EMPRESA","2254-3376","2254-3376","AREA INNOVACION & DESARROLLO","C/ELS ALZAMORA NO 17, ALCOY, ALICANTE, SPAIN, 03802","Spanish","Business | Economics & Business"
"3C TECNOLOGIA","2254-4143","2254-4143","3CIENCIAS","C/ SANTA ROSA 15, ALCOY, SPAIN, 03802","Spanish","Engineering, Multidisciplinary | Engineering"
"3C TIC","2254-6529","2254-6529","AREA INNOVACION & DESARROLLO","C/ELS ALZAMORA NO 17, ALCOY, ALICANTE, SPAIN, 03802","Spanish","Computer Science, Theory & Methods | Computer Science"
"3L-LANGUAGE LINGUISTICS LITERATURE-THE SOUTHEAST ASIAN JOURNAL OF ENGLISH LANGUAGE STUDIES","0128-5157","2550-2247","PENERBIT UNIV KEBANGSAAN MALAYSIA","PENERBIT UNIV KEBANGSAAN MALAYSIA, FAC ECONOMICS & MANAGEMENT, BANGI, MALAYSIA, SELANGOR, 43600","English","Language & Linguistics"
"452 F-REVISTA DE TEORIA DE LA LITERATURA Y LITERATURA COMPARADA","","2013-3294","UNIV BARCELONA, FACULTAD FILOLOGIA","GRAN VIA DE LES CORTS CATALANES, 585, BARCELONA, SPAIN, 08007","Catalan, English, Spanish","Literature"
"AACN ADVANCED CRITICAL CARE","1559-7768","1559-7776","AMER ASSOC CRITICAL CARE NURSES","101 COLUMBIA, ALISO VIEJO, USA, CA, 92656","","Clinical Medicine | Nursing"
"A & A PRACTICE","2325-7237","2325-7237","LIPPINCOTT WILLIAMS & WILKINS","TWO COMMERCE SQ, 2001 MARKET ST, PHILADELPHIA, USA, PA, 19103","","Clinical Medicine | Anesthesiology"
"ABAKOS","2316-9451","2316-9451","PONTIFICIA UNIV CATOLICA MINAS GERAIS","DEPT CIENCIAS BIOLOGICAS, AV DOM JOSE GASPAR 500, CORACAO EUCARISTICO, CEP: 30.535-610, BELO HORIZONTE, BRAZIL, MG, 00000","English, Portuguese","Mathematics | Mathematics, Interdisciplinary Applications"
"ABANICO VETERINARIO","2007-4204","2448-6132","SERGIO MARTINEZ GONZALEZ","TEZONTLE 171 PEDREGAL SAN JUAN, TEPIC NAYARIT, MEXICO, C P 63164","","Veterinary Sciences"
"ABCD-ARQUIVOS BRASILEIROS DE CIRURGIA DIGESTIVA-BRAZILIAN ARCHIVES OF DIGESTIVE SURGERY","0102-6720","2317-6326","COLEGIO BRASILEIRO CIRURGIA DIGESTIVA-CBCD","AV BRIGADEIRO LUIZ ANTONIO, 278-6-SALAS 10 E 11, SAO PAULO SP, BRAZIL, 01318-901","English, Portuguese","Clinical Medicine | Gastroenterology & Hepatology"
"ABE JOURNAL","2275-6639","2275-6639","INVISU-CNRS-INHA, INST NAT HISTOIRE ART","2 RUE VIVIENNE, PARIS, FRANCE, 75002","English, French, German, Italian, Spanish","Architecture"
"ABORIGINAL HISTORY","0314-8769","1837-9389","AUSTRALIAN NATL UNIV, DEPT HISTORY","J B CHIFLEY BLDG NO 15, CANBERRA, AUSTRALIA, ACT  0200","","History | Social Sciences, General"
"ABORIGINAL POLICY STUDIES","1923-3299","1923-3299","UNIV ALBERTA","DEPT SOCIOLOGY, EDMONTON, CANADA, ALBERTA, T6G 2E1","English, French","Social Sciences, General | Social Sciences, Interdisciplinary"
"ABRIU-ESTUDOS DE TEXTUALIDADE DO BRASIL GALICIA E PORTUGAL","2014-8526","2014-8534","UNIV BARCELONA, FACULTAD FILOLOGIA","GRAN VIA DE LES CORTS CATALANES, 585, BARCELONA, SPAIN, 08007","Catalan, English, Galician, Portuguese, Spanish","Humanities, Multidisciplinary"
"ACADEMIA Y VIRTUALIDAD","2011-0731","2011-0731","UNIV MILITAR NUEVA GRANADA","FAC DERECHO, SEDE BOGOTA CRA 11 N 101-80, BOGOTA, COLOMBIA, 00000","Spanish","Social Sciences, General | Education & Educational Research"
"ACADEMIC JOURNAL OF MODERN PHILOLOGY","2299-7164","2353-3218","POLISH ACAD SCI, WROCLAW BRANCH","POLISH ACAD SCI, WROCLAW BRANCH, WROCLAW, POLAND, 00000","","Language & Linguistics"
"ACADEMIC PATHOLOGY","2374-2895","2374-2895","SAGE PUBLICATIONS INC","2455 TELLER RD, THOUSAND OAKS, USA, CA, 91320","English","Clinical Medicine | Pathology"
"ACADEMY OF MANAGEMENT DISCOVERIES","2168-1007","2168-1007","ACAD MANAGEMENT","PACE UNIV, PO BOX 3020, 235 ELM RD, BRIARCLIFF MANOR, USA, NY, 10510-8020","","Management | Economics & Business"
"ACCESS TO JUSTICE IN EASTERN EUROPE","2663-0575","2663-0583","EAST EUROPEAN LAW RESEARCH CENTER","BANDERY STEPANA STR., 20A, KYIV, UKRAINE,","English","Law"
"ACCIONES E INVESTIGACIONES SOCIALES","1132-192X","2340-4507","UNIV ZARAGOZA, ESCUELA UNIV ESTUDIOS SOCIALES","VIOLANTE HUNDRIA, 23, ZARAGOZA, SPAIN, 50009","Spanish","Social Sciences, General | Social Sciences, Interdisciplinary"
"ACCION PSICOLOGICA","1578-908X","2255-1271","UNIV NACL EDUCACION DISTANCIA-UNED, FAC PSICOLOGIA","CALLE JUAN DEL ROSAL 10, MADRID, SPAIN, 28040","English, Spanish","Psychiatry/Psychology | Psychology, Multidisciplinary"
"ACCOUNTING ECONOMICS AND LAW-A CONVIVIUM","2194-6051","2152-2820","WALTER DE GRUYTER GMBH","GENTHINER STRASSE 13, BERLIN, GERMANY, D-10785","","Economics & Business | Business, Finance"
"ACCOUNTING EDUCATION","0963-9284","1468-4489","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Economics & Business | Business, Finance"
"ACCOUNTING HISTORIANS JOURNAL","0148-4184","2327-4468","AMER ACCOUNTING ASSOC","5717 BESSIE DR, SARASOTA, USA, FL, 34233","","Economics & Business | Business, Finance"
"ACCOUNTING HISTORY","1032-3732","1749-3374","SAGE PUBLICATIONS LTD","1 OLIVERS YARD, 55 CITY ROAD, LONDON, ENGLAND, EC1Y 1SP","","Economics & Business | Business, Finance"
"ACCOUNTING HISTORY REVIEW","2155-2851","2155-286X","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Social Sciences, General | Business"
"ACCOUNTING IN EUROPE","1744-9480","1744-9499","ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD","2-4 PARK SQUARE, MILTON PARK, ABINGDON, ENGLAND, OXON, OX14 4RN","","Economics & Business | Business, Finance"
"ACCOUNTING PERSPECTIVES","1911-382X","1911-3838","WILEY","111 RIVER ST, HOBOKEN, USA, NJ, 07030-5774","","Economics & Business | Business, Finance"
"ACCOUNTING RESEARCH JOURNAL","1030-9616","1839-5465","EMERALD GROUP PUBLISHING LTD","HOWARD HOUSE, WAGON LANE, BINGLEY, ENGLAND, W YORKSHIRE, BD16 1WA","","Economics & Business | Business, Finance"
"ACE-ARCHITECTURE CITY AND ENVIRONMENT","1886-4805","1886-4805","UNIV POLITECNICA CATALUNYA","AVDA DIAGONAL 649, BARCELONA, SPAIN, 08028","Catalan, English, Italian, Portuguese, Spanish","Urban Studies | Architecture"
"ACESSO LIVRE","2319-0698","2319-0698","ASSOC SERVIDORES ARQUIVO NACIONAL","PRACA REPUBLICA, 173,BLOCO E CENTRO, RIO DE JANEIRO, BRAZIL, 20211-350","Portuguese","Social Sciences, General | Information Science & Library Science"
